tree	-													
dataType	CDC_VOI_VOC_Lineages_data_mining													
source	Migun Shakya and TOAST													
Outbreak	-													
Organism	SARS-CoV-2													
pmid	-													
														
GISAID_assession	Lineage_v3.1.3	SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	primer_strategy	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
-	-	NA	-	A	NC_045512.2	NA	SNF	-	-	-	-	-	Wuhan-1	TRUE
EPI_ISL_1365182	P.1	ERR5556343	SAMEA8427281	-	-	-	-	ARTIC_V3	-	351f5f575764d2504d603797028499dade81c847caf56550829f112c173c9554	b5575f84b6d1b143a4a1ca989b0afe1eecf1ed49c6e4c59820966377490531cd	-	hCoV-19_England_CAMC-13E7537_2021	FALSE
EPI_ISL_1631305	B.1.617.1	ERR5743893	SAMEA8590647	-	-	-	-	ARTIC_V3	-	ca1f748ca5853a926bc5c4c90ecb2e173b989cff9730f59a2b4b8752c03217df	ddfcb28635e82bc81c9f469449c74d67dc07cf25a49b5bda98d55c9189200cda	-	hCoV-19_England_CAMC-14E726C_2021	FALSE
EPI_ISL_1615877	B.1.617.2	ERR5743043	SAMEA8589796	-	-	-	-	ARTIC_V3	-	bdf7dbeb88d257dd8e6a2502dbde1b90c514e9851b77670cbafe7340ce6c4572	98a5fed4471c087341fa57feea61c97351fd010ecd48c8435868282265a35c03	-	hCoV-19_England_CAMC-14E7A0A_2021	FALSE
EPI_ISL_1719127	B.1.617.1	ERR5771988	SAMEA8620857	-	-	-	-	ARTIC_V3	-	f62e41322efa30a667099a17d50b52bfd88a0eb0ebed1f2c6c7c5ab75eb511fd	e058d851829620a3c536591789b8b0b50304f4791d22177c0336a3e84d3792d4	-	hCoV-19_England_CAMC-1510779_2021	FALSE
EPI_ISL_1519095	B.1.351	ERR5691945	SAMEA8545241	-	-	-	-	ARTIC_V3	-	e80b61ca0076d8d24ad64b10fc3a05d9b89f4e2e169113f5c2a63c212053d674	1d7d94c100d0c2ad59e2fe3dce65757accdd66c95ad3308273e01d4569e568fa	-	hCoV-19_England_QEUH-14A3615_2021	FALSE
EPI_ISL_836881	B.1.525	ERR5181310	SAMEA7861047	-	-	-	-	ARTIC_V3	-	77d74285c7427a4bcf5aa9d772988f89f8545ad8e88f80fbeb8b937fd792de8f	f6e4d1fc60a0a716dac874f2320e08f02ffa02f1ba9197dcd35bb714de468338	-	hCoV-19_England_QEUH-E93AAC_2021	FALSE
EPI_ISL_836839	B.1.525	ERR5181360	SAMEA7861097	-	-	-	-	ARTIC_V3	-	d1ed1f93cd2da00a783d0349167e0ce2e3a1270d9148894aaddac130d01e8311	8c4d476f0110063083f898316b5ca0384ac9b3834dfd3e182cdad405f90053f1	-	hCoV-19_England_QEUH-E948CF_2021	FALSE
EPI_ISL_1631836	B.1.617.2	ERR5749609	SAMEA8596797	-	-	-	-	ARTIC_V3	-	59fa44e1979ebbb17bf6d09f67cf759d753093c8a25e0e81b37f85f6d765ffb0	ac10d9a82fa296705994b49a3edef08d1fa6226382233755256b1e7457b4995a	-	hCoV-19_England_RAND-14DD366_2021	FALSE
EPI_ISL_802998	B.1.427	SRR13422802	SAMN17285126	-	-	-	-	ARTIC_V3	-	a097f0cf76dac10ed2787e74c6d1bf3410592befa768f38677450f2cfcdc3280	dd9669ee9be35ebea6b3adfb3cac694056981bc5269133b76f39f279c2586eea	-	hCoV-19_USA_CA-QDX-2761_2020	FALSE
